month,trip_count,temperature,temperature_change_since_prev_day
10,8744,12,-4
10,11191,11,-4
10,11185,11,-4
10,15647,18,2
10,18407,18,0
10,20597,19,1
10,9652,21,3
10,12845,21,3
10,11714,21,4
10,16236,20,-4
10,17231,20,-4
10,14519,20,-4
10,10600,16,-5
10,14217,16,-4
10,12545,16,-5
10,15929,18,-2
10,18009,18,-2
10,16485,18,-2
10,10196,17,1
10,13792,16,0
10,13280,16,1
10,16614,19,2
10,19031,20,2
10,17184,21,3
10,10236,17,0
10,13611,17,1
10,13218,17,1
10,16226,22,3
10,18721,23,3
10,19114,22,2
10,8739,17,0
10,11810,17,0
10,12197,17,-0
10,16392,23,1
10,19342,22,-1
10,20631,23,1
10,9954,17,0
10,13472,17,0
10,12620,17,0
10,15047,20,-1
10,17502,20,-1
10,15648,21,-0
10,10557,17,-0
10,14239,17,0
10,13493,17,0
10,16597,20,0
10,18668,20,0
10,17260,19,-1
10,10370,17,0
10,13894,17,0
10,13168,17,0
10,17848,24,4
10,20586,24,4
10,19675,24,4
10,9049,17,0
10,11983,18,1
10,11731,18,1
10,17058,25,1
10,20051,26,2
10,22099,24,0
10,9379,9,-3
10,12595,10,-2
10,11866,9,-3
10,14410,14,-1
10,16215,14,-2
10,14655,14,-1
10,10630,9,-0
10,14372,9,-1
10,13024,9,-0
10,15806,17,3
10,18691,18,3
10,16642,19,4
10,10666,14,6
10,14501,14,5
10,13822,14,5
10,17831,23,6
10,20406,23,6
10,18337,23,4
10,10310,17,3
10,13855,17,3
10,13678,16,2
10,18062,23,0
10,20887,23,-0
10,19423,22,-1
10,9300,18,1
10,11830,17,0
10,11652,17,2
10,17601,20,-3
10,20289,19,-4
10,21409,19,-3
10,9262,14,5
10,12373,14,5
10,11473,16,6
10,14233,22,8
10,15842,22,8
10,13495,22,7
10,10559,13,-1
10,14504,13,-1
10,13768,14,-1
10,15119,15,-7
10,17943,16,-7
10,18882,16,-6
10,10627,12,-1
10,14675,13,-0
10,14046,13,-1
10,15886,15,0
10,19610,16,0
10,18462,16,-1
10,10575,11,-2
10,14507,10,-3
10,14273,9,-4
10,17497,13,-2
10,20113,14,-2
10,19605,13,-2
10,9247,11,0
10,12520,9,-1
10,12193,8,-1
10,19298,13,-0
10,22702,13,-1
10,24728,13,-0
11,9240,12,-1
11,12504,12,-1
11,11751,12,-2
11,14223,14,-3
11,16023,14,-3
11,14326,14,-3
11,10251,10,-2
11,13995,11,-2
11,13031,11,-1
11,17568,11,-3
11,19851,11,-3
11,17556,11,-3
11,10826,6,-4
11,14859,6,-5
11,14049,5,-6
11,17493,10,-1
11,20330,11,-0
11,19149,10,-1
11,10759,4,-1
11,14819,4,-1
11,14386,4,-1
11,17783,9,-1
11,20474,10,-1
11,20719,9,-1
11,9410,6,1
11,12843,4,0
11,12772,4,1
11,18017,10,1
11,21256,10,0
11,22989,10,1
11,10310,8,3
11,12935,8,3
11,11625,8,2
11,15243,17,5
11,16542,17,6
11,14004,17,5
11,11081,10,2
11,14081,10,2
11,12806,11,3
11,17279,19,3
11,19399,19,2
11,16917,20,3
11,11216,14,4
11,14417,15,5
11,13384,14,3
11,17249,17,-2
11,20078,17,-2
11,18983,17,-3
11,10058,17,8
11,15337,17,9
11,16427,17,9
11,19982,15,1
11,23398,16,1
11,23753,16,1
11,10553,4,0
11,14050,4,1
11,13533,4,1
11,15885,8,0
11,18805,8,0
11,16388,8,0
11,11494,4,-1
11,15255,3,-1
11,14458,3,-2
11,16907,9,1
11,19664,9,1
11,18255,9,1
11,11597,4,0
11,15433,4,1
11,14540,4,1
11,17881,13,4
11,20893,13,4
11,19508,13,4
11,11136,14,10
11,15025,13,8
11,14495,13,9
11,17632,19,6
11,21322,20,7
11,20961,21,8
11,9496,8,-6
11,12910,7,-6
11,13229,6,-7
11,18215,9,-10
11,21760,8,-12
11,23800,8,-13
11,10298,12,5
11,13138,12,4
11,12216,10,3
11,15861,10,-2
11,17709,9,-3
11,16437,8,-4
11,10196,1,-11
11,13362,1,-11
11,13262,1,-9
11,14918,4,-6
11,16661,4,-5
11,16330,4,-4
11,7626,-1,-2
11,10105,-1,-2
11,11330,-1,-1
11,15157,6,1
11,15823,6,2
11,14873,7,2
11,9729,4,3
11,13219,4,3
11,11951,4,3
11,15665,3,-1
11,16882,5,1
11,14851,5,0
11,10752,0,-4
11,14709,0,-4
11,13874,-1,-4
11,17244,4,1
11,19568,3,-2
11,17119,4,-1
12,11076,5,5
12,15240,5,5
12,14175,5,6
12,17501,9,6
12,19855,9,6
12,17280,9,5
12,10652,9,4
12,14517,9,4
12,14035,10,5
12,18061,13,4
12,21451,14,5
12,19301,14,6
12,9848,8,-1
12,13109,7,-2
12,12980,7,-3
12,20452,8,-6
12,23941,8,-6
12,24798,7,-7
12,9633,8,3
12,13170,8,3
12,12959,9,4
12,16331,15,7
12,18060,14,6
12,17283,14,6
12,11494,4,-4
12,15385,4,-4
12,14723,3,-6
12,18791,4,-11
12,21786,5,-9
12,19761,5,-9
12,11678,3,-2
12,16104,3,-1
12,15364,3,0
12,19295,5,1
12,22343,5,0
12,22639,5,0
12,11355,1,-2
12,15572,1,-3
12,15849,0,-3
12,19357,3,-2
12,23402,3,-2
12,22844,3,-2
12,9627,4,4
12,13340,4,4
12,13614,4,4
