month,trip_count,temperature,temperature_change_since_prev_day
2,26588,-4,6
2,27421,-3,6
2,28899,-2,7
2,31909,-2,7
2,35917,-1,7
2,37767,1,8
2,30501,1,8
2,27892,1,7
2,30505,1,7
2,30389,0,6
2,25459,0,7
2,20115,0,7
2,14915,0,7
2,9774,0,7
2,5202,0,8
2,2263,1,9
2,3030,1,9
2,5109,1,9
2,9662,1,9
2,13722,1,9
2,18546,1,9
2,21362,1,9
2,22568,2,9
2,21916,3,9
2,21224,4,9
2,21227,6,9
2,23611,8,10
2,30670,9,11
2,29463,11,11
2,16486,11,10
2,16541,11,10
2,16176,8,7
2,27721,7,6
2,13332,7,7
2,6641,7,7
2,3534,7,7
2,2087,7,7
2,1562,6,6
2,1585,6,6
2,3517,6,4
2,10513,6,5
2,20817,6,5
2,26656,6,4
2,22732,6,4
2,18027,6,5
2,16625,6,4
2,17445,5,3
2,17084,8,4
2,18774,10,6
2,20513,13,7
2,20778,14,6
2,26267,16,6
2,31843,16,5
2,26815,16,4
2,22632,14,3
2,20726,13,6
2,16792,11,4
2,10350,10,3
2,6120,9,2
2,3429,9,3
2,2014,8,2
2,1312,8,2
2,1388,8,2
2,3790,8,3
2,11052,9,3
2,21006,8,3
2,27028,8,3
2,23589,8,3
2,19492,8,2
2,18838,10,4
2,19331,10,5
2,18862,11,3
2,19819,13,3
2,21308,13,0
2,21026,14,0
2,27224,16,0
2,32674,17,2
2,28582,18,2
2,25970,18,4
2,24584,18,4
2,21316,17,6
2,14336,16,6
2,8334,16,6
2,4476,13,4
2,2652,11,2
2,1602,9,1
2,1596,7,-1
2,3650,6,-2
2,11450,5,-4
2,22902,4,-4
2,28803,4,-4
2,25134,3,-5
2,20123,3,-5
2,19670,2,-8
2,20045,3,-7
2,19886,4,-7
2,21635,5,-8
2,22827,5,-8
2,23195,7,-8
2,30608,8,-8
2,40504,7,-10
2,38885,6,-12
2,32270,7,-12
2,33767,6,-12
2,27832,6,-11
2,18451,6,-11
2,9432,6,-10
2,4732,6,-8
2,2834,5,-6
2,1752,5,-4
2,1731,4,-3
2,3879,4,-2
2,11542,4,-1
2,23057,4,-1
2,28946,4,1
2,25608,4,1
2,20556,4,2
2,19626,4,2
2,20356,4,1
2,19969,4,1
2,21836,5,0
2,23298,6,1
2,23381,6,-1
2,30304,6,-2
2,34995,7,-0
2,33987,7,1
2,29775,7,0
2,28871,6,0
2,26090,6,0
2,19978,6,0
2,12626,6,0
2,8827,6,0
2,4813,6,1
2,2778,6,1
2,2143,6,1
2,3907,6,1
2,11155,6,2
2,23968,6,2
2,30957,6,2
2,29010,6,2
2,23775,6,2
2,20766,6,2
2,21446,7,3
2,20782,7,3
2,22626,7,2
2,23892,7,2
2,24286,8,2
2,31802,10,4
2,37890,12,5
2,38744,12,5
2,34140,11,4
2,31851,9,3
2,32061,7,1
2,30318,6,-0
2,24050,4,-2
2,18737,2,-4
2,13832,1,-5
2,9008,1,-6
2,4855,0,-6
2,2576,-1,-7
2,4199,-2,-7
2,6841,-2,-8
2,12092,-3,-9
2,19735,-3,-9
2,24344,-4,-10
2,27786,-4,-10
2,29940,-4,-11
2,30024,-4,-12
2,29024,-4,-11
2,29448,-3,-10
2,30601,-2,-10
2,33668,-1,-11
2,37627,-1,-12
2,39059,0,-12
2,32504,-1,-11
2,31321,-1,-10
2,33720,-1,-8
2,32374,-1,-7
2,27963,-2,-6
2,22105,-2,-4
2,16433,-3,-4
2,10835,-3,-3
2,5505,-3,-3
2,2475,-3,-2
2,3282,-4,-2
2,4886,-4,-2
2,8660,-4,-1
2,14290,-4,-1
2,20051,-4,-1
2,23619,-5,-1
2,25521,-5,-1
2,25922,-4,1
2,24709,-3,1
2,23582,-2,1
2,23990,-1,1
